Typ,Lokalizacja,Metraż,Wykończenie,Cena za metr,Decyzja
Nowe budownictwo,Centrum,Kawalerka,Wys. standard,Niska,Kupić
Nowe budownictwo,Centrum,Kawalerka,Wys. standard,Średnia,Kupić
Nowe budownictwo,Centrum,Kawalerka,Wys. standard,Wysoka,Kupić
Nowe budownictwo,Centrum,Kawalerka,Wys. standard,Bardzo wysoka,Rozważyć
Nowe budownictwo,Centrum,Kawalerka,Średnie,Niska,Kupić
Nowe budownictwo,Centrum,Kawalerka,Średnie,Średnia,Kupić
Nowe budownictwo,Centrum,Kawalerka,Średnie,Wysoka,Rozważyć
Nowe budownictwo,Centrum,Kawalerka,Średnie,Bardzo wysoka,Rozważyć
Nowe budownictwo,Centrum,Kawalerka,Do remontu,Niska,Kupić
Nowe budownictwo,Centrum,Kawalerka,Do remontu,Średnia,Kupić
Nowe budownictwo,Centrum,Kawalerka,Do remontu,Wysoka,Rozważyć
Nowe budownictwo,Centrum,Kawalerka,Do remontu,Bardzo wysoka,Rozważyć
Nowe budownictwo,Centrum,2-pok,Wys. standard,Niska,Kupić
Nowe budownictwo,Centrum,2-pok,Wys. standard,Średnia,Kupić
Nowe budownictwo,Centrum,2-pok,Wys. standard,Wysoka,Kupić
Nowe budownictwo,Centrum,2-pok,Wys. standard,Bardzo wysoka,Rozważyć
Nowe budownictwo,Centrum,2-pok,Średnie,Niska,Kupić
Nowe budownictwo,Centrum,2-pok,Średnie,Średnia,Rozważyć
Nowe budownictwo,Centrum,2-pok,Średnie,Wysoka,Rozważyć
Nowe budownictwo,Centrum,2-pok,Średnie,Bardzo wysoka,Rozważyć
Nowe budownictwo,Centrum,2-pok,Do remontu,Niska,Kupić
Nowe budownictwo,Centrum,2-pok,Do remontu,Średnia,Rozważyć
Nowe budownictwo,Centrum,2-pok,Do remontu,Wysoka,Rozważyć
Nowe budownictwo,Centrum,2-pok,Do remontu,Bardzo wysoka,Rozważyć
Nowe budownictwo,Centrum,>3pok,Wys. standard,Niska,Kupić
Nowe budownictwo,Centrum,>3pok,Wys. standard,Średnia,Kupić
Nowe budownictwo,Centrum,>3pok,Wys. standard,Wysoka,Rozważyć
Nowe budownictwo,Centrum,>3pok,Wys. standard,Bardzo wysoka,Rozważyć
Nowe budownictwo,Centrum,>3pok,Średnie,Niska,Kupić
Nowe budownictwo,Centrum,>3pok,Średnie,Średnia,Kupić
Nowe budownictwo,Centrum,>3pok,Średnie,Wysoka,Rozważyć
Nowe budownictwo,Centrum,>3pok,Średnie,Bardzo wysoka,Odrzucić
Nowe budownictwo,Centrum,>3pok,Do remontu,Niska,Kupić
Nowe budownictwo,Centrum,>3pok,Do remontu,Średnia,Kupić
Nowe budownictwo,Centrum,>3pok,Do remontu,Wysoka,Rozważyć
Nowe budownictwo,Centrum,>3pok,Do remontu,Bardzo wysoka,Odrzucić
Nowe budownictwo,Średnia,Kawalerka,Wys. standard,Niska,Kupić
Nowe budownictwo,Średnia,Kawalerka,Wys. standard,Średnia,Kupić
Nowe budownictwo,Średnia,Kawalerka,Wys. standard,Wysoka,Kupić
Nowe budownictwo,Średnia,Kawalerka,Wys. standard,Bardzo wysoka,Rozważyć
Nowe budownictwo,Średnia,Kawalerka,Średnie,Niska,Kupić
Nowe budownictwo,Średnia,Kawalerka,Średnie,Średnia,Rozważyć
Nowe budownictwo,Średnia,Kawalerka,Średnie,Wysoka,Rozważyć
Nowe budownictwo,Średnia,Kawalerka,Średnie,Bardzo wysoka,Odrzucić
Nowe budownictwo,Średnia,Kawalerka,Do remontu,Niska,Kupić
Nowe budownictwo,Średnia,Kawalerka,Do remontu,Średnia,Rozważyć
